Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Measured Size,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent,Publication Date
350,Financial Services (H),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",United States,2010,5696,29370.0,51651.3,0,0,163.76,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
351,Financial Services (H),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",United States,2010,5696,29370.0,51651.3,0,0,163.76,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
352,Financial Services (H),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",United States,2010,5696,29370.0,51651.3,0,0,163.76,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
353,Financial Services (H),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",United States,2010,5696,29370.0,51651.3,0,0,163.76,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
354,Financial Services (H),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",United States,2010,5696,29370.0,51651.3,0,0,163.76,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
355,Government,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",Russia,2010,5088,29369.8,51490.6,0,0,160.8,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Government,Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe,06/2010
356,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2008,4584,29365.0,55008.0,0,0,510.61,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
357,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,4584,29365.0,55008.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
358,Financial Services (H),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5420 2.5 GHz, GigE",United States,2009,5520,29364.2,55200.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
359,HWW/Universitaet Stuttgart,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",Germany,2008,3424,29323.1,38759.7,0,0,134.94,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband,Western Europe,Europe,06/2010
360,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5520 2.26 GHz, Infiniband",United States,2010,4096,29236.8,37027.8,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Finance,Infiniband,Infiniband,North America,Americas,06/2010
361,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5520 2.26 GHz, Infiniband",United States,2010,4096,29236.8,37027.8,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Finance,Infiniband,Infiniband,North America,Americas,06/2010
362,NERSC/LBNL,IBM,"iDataPlex, Xeon X55xx QC 2.66 GHz, Infiniband",United States,2010,2984,29196.6,31821.4,0,0,97.91,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas,06/2010
363,NERSC/LBNL,IBM,"iDataPlex, Xeon X55xx QC 2.66 GHz, Infiniband",United States,2010,2984,29196.6,31821.4,0,0,97.91,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas,06/2010
364,NERSC/LBNL,IBM,"iDataPlex, Xeon X55xx QC 2.66 GHz, Infiniband",United States,2010,2984,29196.6,31821.4,0,0,97.91,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas,06/2010
365,Engineering Company,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.66 GHz, GigEthernet",China,2010,5040,29092.5,51004.8,0,0,165.3,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2010
366,Communications,IBM,"xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz, GigEthernet",France,2010,5032,29046.0,53661.0,0,0,220.78,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries x3650 Cluster Xeon quad core,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2010
367,Communications,IBM,"xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz, GigEthernet",France,2010,5032,29046.0,53661.0,0,0,220.78,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries x3650 Cluster Xeon quad core,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2010
368,Communications,IBM,"xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz, GigEthernet",France,2010,5032,29046.0,53661.0,0,0,220.78,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries x3650 Cluster Xeon quad core,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2010
369,IIT Kanpur,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, Infiniband",India,2010,2944,29012.8,34503.7,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Not Specified,Infiniband,Infinband DDR 4x,South-central Asia,Asia,06/2010
370,Geophysics Company,DALCO AG Switzerland,"Dalco r2164i Cluster, X54xx 3.0 Ghz, Quadrics",Switzerland,2008,2880,28990.0,34560.0,820000,0,0.0,0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,Dalco Cluster,DALCO r2164i,Linux,Cluster,Industry,Geophysics,Quadrics,Quadrics,Western Europe,Europe,06/2010
371,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2010,3008,28912.3,33689.6,0,0,105.28,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas,06/2010
372,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2010,3008,28912.3,33689.6,0,0,105.28,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband,North America,Americas,06/2010
373,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2010,3008,28912.3,33689.6,0,0,105.28,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband,North America,Americas,06/2010
374,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2010,3008,28912.3,33689.6,0,0,105.28,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas,06/2010
375,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2010,3008,28912.3,33689.6,0,0,105.28,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas,06/2010
376,Geoscience,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2010,3008,28912.3,33689.6,0,0,105.28,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Not Specified,Infiniband,Infiniband,North America,Americas,06/2010
377,Telecommunication Company,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",Russia,2010,5008,28908.1,50681.0,0,0,164.33,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe,06/2010
378,University of Bristol,ClusterVision/IBM,"xSeries x3450 Cluster Xeon quad core, 2.8 GHz, Infiniband",United Kingdom,2008,3360,28775.0,37632.0,0,0,135.03,112,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2800,4,IBM Cluster,xSeries x3450 Cluster Xeon quad core,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Northern Europe,Europe,06/2010
379,University of North Carolina,Dell,"PowerEdge 1955, 2.33 GHz, Cisco/Topspin Infiniband",United States,2007,4160,28770.0,38821.1,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,4,Dell PowerEdge Cluster,PowerEdge 1955,Linux,Cluster,Academic,Research,Infiniband,Infiniband SDR,North America,Americas,06/2010
380,Classified,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, Infiniband",United Kingdom,2010,3192,28641.0,38304.0,0,0,126.63,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Classified,Not Specified,Infiniband,Infiniband,Northern Europe,Europe,06/2010
381,Banking (M),IBM,"iDataPlex, Xeon X56xx 6C 2.66 GHz, Infiniband",United States,2010,3072,28624.0,32686.0,0,0,72.0,0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Finance,Infiniband,Infiniband,North America,Americas,06/2010
382,IT Services Provider (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon E5440 2.83 GHz, Infiniband",Sweden,2009,3184,28558.7,36042.9,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2830,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Information Processing Service,Infiniband,Infiniband,Northern Europe,Europe,06/2010
383,Nagoya University,Fujitsu,"Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR",Japan,2009,3072,28510.0,30965.0,1591296,0,263.42,0,Sparc,SPARC64 VII,2500,4,Fujitsu Cluster,Fujitsu FX1,Open Solaris,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,Eastern Asia,Asia,06/2010
384,Financial Institution,IBM,"iDataPlex, Xeon E55xx QC 2.66 GHz, GigE",United States,2010,4920,28400.0,52467.0,0,0,192.25,56,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
385,Semiconductor Company (P),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 51xx 2.66GHz, Infiniband DDR",United States,2008,3456,28388.8,36868.6,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,2,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Semiconductor,Infiniband,Infiniband DDR,North America,Americas,06/2010
386,Semiconductor Company (P),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 51xx 2.66GHz, Infiniband DDR",United States,2008,3456,28388.8,36868.6,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,2,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Semiconductor,Infiniband,Infiniband DDR,North America,Americas,06/2010
387,Distribution,IBM,"xSeries x3550 Cluster, QC HT Xeon 2.66 GHz, Infiniband",United States,2009,3312,28363.9,35319.2,0,0,192.1,8,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM Cluster,xSeries x3550 Cluster Xeon quad core HT,Linux,Cluster,Industry,Database,Infiniband,Infiniband,North America,Americas,06/2010
388,Distribution,IBM,"xSeries x3550 Cluster, QC HT Xeon 2.66 GHz, Infiniband",United States,2009,3312,28363.9,35319.2,0,0,192.1,8,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM Cluster,xSeries x3550 Cluster Xeon quad core HT,Linux,Cluster,Industry,Database,Infiniband,Infiniband,North America,Americas,06/2010
389,IT Services Provider (B),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",India,2009,4424,28357.1,53088.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,South-central Asia,Asia,06/2010
390,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,4416,28306.6,52992.0,0,0,280.7,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Entertainment,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
391,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,4408,28256.2,52896.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
392,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,4404,28231.0,52848.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
393,Government,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, Infiniband",United States,2010,3288,28158.0,35063.0,0,0,127.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,Cluster,Government,Not Specified,Infiniband,Infiniband,North America,Americas,06/2010
394,Government,IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",Russia,2010,4864,28076.8,49223.7,0,0,153.78,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe,06/2010
395,Hosting Services,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE",United States,2009,5664,28066.2,52788.5,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
396,University of Oklahoma,Dell,"PowerEdge 1950, Xeon E54xx, 2 GHz, Infiniband",United States,2008,4176,28030.0,33408.0,981750,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2000,4,Dell PowerEdge Cluster,PowerEdge 1950,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,North America,Americas,06/2010
397,Universitaet Frankfurt,ClusterVision,"ClusterVision Cluster, 6C Opteron 2.2/2.4 GHz, Infiniband",Germany,2010,3792,28030.0,33369.0,844480,0,265.0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2100,4,ClusterVision Cluster,ClusterVision Opteron Cluster,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,Western Europe,Europe,06/2010
398,Semiconductor Company (O),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon E5450 3.0 GHz, GigE",United Kingdom,2009,4336,27802.2,52032.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2010
399,Semiconductor Company (O),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon E5440 2.83 GHz, GigE",United Kingdom,2009,4592,27748.5,51981.4,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2010
400,CSC (Center for Scientific Computing),Hewlett-Packard,"Cluster Platform 4000 BL465c, Opteron 6C 2.6GHz, Infiniband DDR",Finland,2010,3264,27741.0,33946.0,675168,0,0.0,0,AMD x86_64,AMD x86_64 Opteron Six Core,2600,6,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c,Linux,Cluster,Academic,Not Specified,Infiniband,Infinband DDR 4x,Northern Europe,Europe,06/2010
401,Intel Corporation SCTO HPC,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2008,5184,27720.0,62208.0,1537920,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Semiconductor,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
402,Sardegna Ricerche,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon E5440 2.83 GHz, Infiniband",Italy,2009,3088,27707.8,34956.2,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2830,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,Cluster,Industry,Research,Infiniband,Infiniband,Southern Europe,Europe,06/2010
403,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon E54xx 2.33 GHz, GigEthernet",China,2008,5584,27678.1,52042.9,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2010
404,Datacenter,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5520 2.26 GHz, GigE",United States,2009,5760,27674.4,52070.4,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
405,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E55xx 2.53 Ghz, GigE",United Kingdom,2010,5120,27604.6,51814.4,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2010
406,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 4000 BL465c, Opteron QC 2.3GHz, GigE",United States,2009,5632,27551.6,51814.4,0,0,0.0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c,Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
407,ASTRON/University Groningen,IBM,eServer Blue Gene Solution,Netherlands,2005,12288,27450.0,34406.4,516095,0,134.4,2048,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,Western Europe,Europe,06/2010
408,Data Center (D),IBM,"xSeries x3650 Cluster Xeon QC GT 2.66 GHz, Infiniband",Austria,2009,2800,27396.2,29792.0,0,0,132.3,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,IBM Cluster,xSeries x3650 Cluster Xeon quad core,Linux,Cluster,Industry,Information Processing Service,Infiniband,Infiniband,Western Europe,Europe,06/2010
409,Lawrence Livermore National Laboratory,Appro International,Appro Xtreme Server - Quad Opteron Dual Core 2.4GHz Infiniband,United States,2007,6912,27380.0,33178.0,766976,0,0.0,0,AMD x86_64,AMD x86_64 Opteron Dual Core,2400,2,Appro XtremeServer,Appro XtremeServers,Linux,Cluster,Research,Not Specified,Infiniband,Infiniband DDR,North America,Americas,06/2010
410,Clemson University Computational Center for Mobility Systems,Sun Microsystems,"SunBlade x6250, Xeon L5420 2.5GHz, Infiniband DDR",United States,2008,3440,27370.0,34400.0,1275000,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2500,4,Sun Blade System,Sun Blade x6250,Linux,Cluster,Academic,Automotive,Infiniband,Infiniband DDR,North America,Americas,06/2010
411,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 4000 BL465c G5, Opteron QC 2.9 GHz, GigEthernet",United States,2010,4408,27314.3,51132.8,0,0,0.0,0,AMD x86_64,AMD x86_64 Opteron Quad Core,2900,4,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c,Linux,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
412,Geophysical Company,IBM,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",United States,2010,2640,27305.8,29568.0,0,0,92.4,0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas,06/2010
413,WETA Digital,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, GigE",New Zealand,2008,5120,27277.3,51200.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Industry,Media,Gigabit Ethernet,Gigabit Ethernet,Australia and New Zealand,Oceania,06/2010
414,RUG (Rijksuniversiteit Groningen),ClusterVision,"ClusterVision Cluster, 6C Opteron 2.6 GHz, Infiniband DDR",Netherlands,2010,3024,27250.0,33446.0,716800,0,0.0,0,AMD x86_64,AMD x86_64 Opteron Six Core,2600,6,ClusterVision Cluster,ClusterVision Opteron Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,Western Europe,Europe,06/2010
415,IT Services Provider (C),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2010,4720,27245.4,47766.4,0,0,149.23,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
416,IT Services Provider (C),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2010,4720,27245.4,47766.4,0,0,149.23,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
417,IT Services Provider (C),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2010,4720,27245.4,47766.4,0,0,149.23,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
418,IT Services Provider (C),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2010,4720,27245.4,47766.4,0,0,149.23,0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM Cluster,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2010
419,Food Industry,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.66GHz, GigEthernet",France,2009,4800,27241.8,51072.0,0,0,0.0,0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Industry,Service,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2010
